id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1815100,1579366,2026-05-01 04:56:48 -0700,2026-05-01 04:56:48 -0700,"<p>Hi @vrgovinda </p><p>I'm able to replicate your issue. </p><p>Your best action is to report the bug via a new issue report on github. <a href=""https://github.com/thunderbird/thunderbird-android/issues"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues</a> </p>",platform34,False,1,0
1815142,1579366,2026-05-01 09:36:16 -0700,2026-05-01 09:36:16 -0700,"<em><p>Platform34 <a href=""#answer-1815100"" rel=""nofollow"">said</a></p></em> <blockquote>Hi @vrgovinda  I'm able to replicate your issue.  Your best action is to report the bug via a new issue report on github. <a href=""https://github.com/thunderbird/thunderbird-android/issues"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues</a> </blockquote> <p>Yes. Thanks for the confirmation. Should I mark my question as solved? (Although I am being referred to GitHub) </p>",vrajarajagovinda,False,0,0
1815886,1579443,2026-05-04 16:48:51 -0700,2026-05-04 16:48:51 -0700,<p>Hi Kilgetty </p><p>Are you closing the Thunderbird app via the recent apps list. This would stop the push service running in the background. An ongoing notification is displayed while the service is running. </p><p>You should turther enable the app to run in the background and exclude it from Android's battery optimisations. Goto android settings &gt; apps &gt; app name &gt; battery: Allow background activity </p>,platform34,False,1,0
1815879,1579451,2026-05-04 16:32:16 -0700,2026-05-04 16:32:16 -0700,"<p>No, there's no integration supported. </p><p>Feel free to make the suggestion on Mozilla connect where users can vote for your idea. <a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android</a> </p>",platform34,False,0,0
1816249,1579466,2026-05-06 00:45:52 -0700,2026-05-06 00:45:52 -0700,"<p>Thunderbird for Android doesn't have it's own address book or method to sync with the desktop. </p><p>An address book has been requested by the community on <a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android"" rel=""nofollow"">mozilla connect</a>. You can show support by voting for the idea (linked below) or add your own. </p><p><a href=""https://connect.mozilla.org/t5/ideas/an-address-book-in-thunderbird-for-android/idi-p/84952"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/an-address-book-in-thunderbird-for-android/idi-p/84952</a> </p>",platform34,False,0,0
1816899,1580069,2026-05-08 20:04:46 -0700,2026-05-08 20:04:46 -0700,"<p>Hi Phil </p><p>Your best action is to report the issue to the developers by creating a new issue ticket on github. <a href=""https://github.com/thunderbird/thunderbird-android/issues"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues</a> </p><p>There's a number of notification issues being reported at the moment. The Thunderbird team are treating these as a top priority as stated in their April blog below. </p><p><a href=""https://blog.thunderbird.net/2026/04/mobile-progress-report-april-2026/"" rel=""nofollow"">https://blog.thunderbird.net/2026/04/mobile-progress-report-april-2026/</a> </p>",platform34,False,0,0
1816181,1580136,2026-05-05 17:46:35 -0700,2026-05-05 17:46:35 -0700,"<p>Dies ist in erster Linie ein englischsprachiges Forum. Möglicherweise erhalten Sie eine bessere Antwort, wenn Sie im deutschen Forum unten posten. </p><p><a href=""https://www.thunderbird-mail.de/forum/board/93-thunderbird-k-9-mail-f%C3%BCr-android/"" rel=""nofollow"">https://www.thunderbird-mail.de/forum/board/93-thunderbird-k-9-mail-f%C3%BCr-android/</a> </p>",platform34,False,0,0
1816205,1580163,2026-05-05 19:52:51 -0700,2026-05-05 19:52:51 -0700,<p>Hi @Wilsonians </p><p>Can you provide details about the issue your experiencing? Please share any error information displayed by the app. </p> <ul><li> Are you unable to add the account?   </li><li> Is the issue with a specific feature or function your trying to configure?  </li><li> Who is your email provider? </li></ul> <p>Note that Thunderbird for Android does not support using oAuth authentication with pop3 accounts. You should create an app password via your providers webmail if this situation is applicable to you. </p>,platform34,False,0,0
1816897,1580286,2026-05-08 19:46:42 -0700,2026-05-08 19:46:42 -0700,"<p>Hi dewtheone </p><p><a href=""https://github.com/thunderbird/thunderbird-android/issues"" rel=""nofollow"">Github</a> is the best place to report bugs. </p><p>A similar issue has recently been reported. Please consider add your feedback to this ticket.  <a href=""https://github.com/thunderbird/thunderbird-android/issues/10998"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/10998</a> </p>",platform34,False,0,0
1816373,1580312,2026-05-06 16:55:51 -0700,2026-05-06 16:55:51 -0700,"<p>Hi, </p><p>I think you just need to go into the <em>Settings</em>, in the list of accounts, select the one to be removed, then in the triple-dot menu in the top right, select <em>Remove Account</em>. </p><p>Regards, Balázs </p>",meskobalazs,False,0,0
1816751,1580468,2026-05-08 02:25:12 -0700,2026-05-08 02:25:12 -0700,<p>Thanks for the connect link; I up-voted and commented. I will also check out the milestone and code review links. Thanks for those as well. </p>,jsmallfi,False,0,0
1816702,1580468,2026-05-07 18:26:47 -0700,2026-05-07 18:26:47 -0700,"<p>Hi jsmallfi </p><p>HTML signatures are not currently supported at the moment in TBA. </p><p>The best way to show your support and interest in the feature is by voting for it on mozilla connect linked below. The community has already shown strong interest in it's adoption. </p><p><a href=""https://connect.mozilla.org/t5/ideas/allow-html-signatures-in-k-9-mail-thunderbird-for-android/idi-p/28983"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/allow-html-signatures-in-k-9-mail-thunderbird-for-android/idi-p/28983</a> </p><p>The developers have already tabled this as a milestone on this years roadmap, with a code submission currently under review. </p><p><strong>Milestone</strong>: <a href=""https://github.com/thunderbird/thunderbird-android/issues/8841"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/8841</a> <strong>Code review</strong>: <a href=""https://github.com/thunderbird/thunderbird-android/pull/10876"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/pull/10876</a> </p>",platform34,False,1,0
1816909,1580578,2026-05-08 20:42:58 -0700,2026-05-08 20:42:58 -0700,"<p>Hi Faruk </p><p>Apologies, I'm unable to understand the issue you're reporting. The english has not translated well.  </p><p>Are you able to clarify your question? </p>",platform34,False,0,0
1817148,1580875,2026-05-09 23:35:16 -0700,2026-05-09 23:35:16 -0700,"<p>While reading an email, the ""date"" is display to the right of the senders emails address. </p> <ul><li> Emails received between 1 and 7 days ago display only the week day, eg Tue </li><li> Emails between a week and one year old dispay the day and month, eg 10 Apr </li><li> Emails greater than a year old display the full date. </li></ul> <p>Tapping the sender email / date line presents a box containing the email's <strong>full date and time</strong>. </p>",platform34,False,0,0
1817437,1581031,2026-05-11 06:04:33 -0700,2026-05-11 06:04:33 -0700,"<p>Hi Ian </p><p>The developers found that performance begins to degrade noticeably once the value exceeds 500.  </p><p><a href=""https://github.com/thunderbird/thunderbird-android/issues/10373#issuecomment-3810077139"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/10373#issuecomment-3810077139</a> </p><p>The value can be changed from settings &gt; account name &gt; fetching mail &gt; local folder size. </p>",platform34,False,1,0
1817439,1581031,2026-05-11 06:19:54 -0700,2026-05-11 06:19:54 -0700,"<p>Thanks, Platform34. Just what I was looking for! 👍 </p>",IanStar,False,0,0
1817440,1581041,2026-05-11 06:21:48 -0700,2026-05-11 06:21:48 -0700,"<p>Möglicherweise erhalten Sie größere Resonanz und Hilfe, wenn Sie im unten verlinkten deutschen Forum posten. Dieses Forum ist hauptsächlich englischsprachig. </p><p><a href=""https://www.thunderbird-mail.de/forum/board/93-thunderbird-k-9-mail-für-android/"" rel=""nofollow"">https://www.thunderbird-mail.de/forum/board/93-thunderbird-k-9-mail-für-android/</a> </p>",platform34,False,0,0
1817657,1581124,2026-05-11 22:24:16 -0700,2026-05-11 22:24:16 -0700,"<p>You can download the latest release from stores such as Google Play, F-Droid etc. To upgrade, obtained the version from the same store were you got your installed version from. The new version will upgrade your existing one. </p>",platform34,False,0,0
1817650,1581159,2026-05-11 21:40:24 -0700,2026-05-11 21:40:24 -0700,"<p>Hi George </p><p>Yes there's no problem using both desktop and mobile versions. They can co-exist. Imap is designed to sync multiple clients. </p><p>The mobile app asking you to sign-in to your google account is normal. This is the oAuth 2.0 authentication mechanism, a modern and more secure sign-in method for email apps. Many email providers now require this method which replaces traditional user name and password sign-in by apps. </p><p>When you sign-in to google, you'll be prompted to give permission, allowing Thunderbird for Android access to you're emails. Once granted, TBA receives an oAuth authentication token from google which it uses to access your emails, rather than your user name and password. </p>",platform34,False,0,0
1817656,1581170,2026-05-11 22:05:40 -0700,2026-05-11 22:05:40 -0700,"<p>Hi </p><p>1. Is your email using a business office365 / Microsoft Entra configuration? If you have a system administrator, they would be the best team to discuss this with.  </p><p>In order for Thunderbird for Android to successfully sign-in using Imap + oAuth authentication, you need to register the app in Microsoft Entra and grant the users account permission to use Imap / smtp. </p><p><a href=""https://learn.microsoft.com/en-us/exchange/client-developer/legacy-protocols/how-to-authenticate-an-imap-pop-smtp-application-by-using-oauth"" rel=""nofollow"">https://learn.microsoft.com/en-us/exchange/client-developer/legacy-protocols/how-to-authenticate-an-imap-pop-smtp-application-by-using-oauth</a> </p><p>Please advise if your use case is different. </p>",platform34,False,0,0
1817668,1581170,2026-05-11 23:55:07 -0700,2026-05-11 23:55:07 -0700,<p>Thank you for the fast response. I will check with them  and update. </p><p>k </p>,klcorey,False,0,0
1817787,1581219,2026-05-12 12:11:45 -0700,2026-05-12 12:11:45 -0700,<p>Please explain the issue your experiencing with the app. Please detail any error messages presented. </p>,platform34,False,0,0
1817948,1581356,2026-05-13 01:56:13 -0700,2026-05-13 01:56:13 -0700,"<p>Hi Geister </p><p>The TB mobile app doesn't support setting a message priority, </p><p>You can raise the idea / feature request on Mozilla connect and receive votes from the community. The TB team take these into consideration when deciding on development priorities and roadmaps. </p><p><a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android/tab/most-kudoed"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android/tab/most-kudoed</a> </p>",platform34,False,0,0
1817941,1581358,2026-05-13 01:27:14 -0700,2026-05-13 01:27:14 -0700,"<p>Hi Glen </p><p>You previously asked the same question on ticket : <a href=""https://support.mozilla.org/en-US/questions/1581219"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1581219</a>. </p><p>Please use the same ticket when responding about the same question. </p><p>What issue is stopping you using Thunderbird on your phone, Please describe so we can offer you some assistance. What is your concern about mail security? </p><p>If your concern relates to a feature the app doesn't currently support, please feel free to raise any suggestions and ideas you have on Mozilla connect. These ideas can then be voted on by the community. </p><p><a href=""https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android/tab/most-kudoed"" rel=""nofollow"">https://connect.mozilla.org/t5/ideas/idb-p/ideas/label-name/thunderbird%20android/tab/most-kudoed</a> </p>",platform34,False,0,0
1818627,1581788,2026-05-15 19:22:26 -0700,2026-05-15 19:22:26 -0700,"<p>Un problème similaire au tien est ouvert à l'investigation sur Github. Vous devriez ajouter vos retours à ce ticket. Une correction potentielle a été soumise par un développeur communautaire et attend une révision. </p><p><a href=""https://github.com/thunderbird/thunderbird-android/issues/10998"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/10998</a> <a href=""https://github.com/thunderbird/thunderbird-android/pull/11000"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/pull/11000</a> </p>",platform34,False,0,0
